DATA_TYPE,BSE_DT,N_ID,TITLE,SUMMARY,SENTIMENT,REASON,RELATED_STOCK_CD,RELATED_STOCK_NM,_INGEST_TS,_INGEST_DATE
1,20260618,3F04A00108435700065820260618,"토마토시스템, '엑스빌더6' 앞세워 제조업 DX 시장 공략 본격화",토마토시스템이 제조업 DX 시장 공략과 다양한 솔루션 도입을 본격화함.,호재,"신사업 진출 및 대우건설, 미라콤아이엔씨, 테스 등과의 협력 사례가 기업 성장과 실적 개선에 긍정적 영향을 줄 것으로 판단됩니다.",393210,토마토시스템,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F05A00108461800013620260618,"""롯데지주, 사업구조 재편으로 재무건정성 확보에 집중""-BNK",롯데지주 사업구조 재편 및 재무건전성 확보로 투자 기대감 상승.,호재,"사업구조 재편, 계열사 수익성 개선, 재무 건전성 확보 등은 주가 상승에 긍정적 영향을 줄 것으로 예상됩니다.",004990,롯데지주,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F20A00108370400015420260618,"[리포트 브리핑]기아, '실적에서 기대감으로' 목표가 290,000원 - 한화투자증권",기아 목표주가 상향과 실적 개선 기대감으로 투자 의견 'BUY' 유지.,호재,"목표주가 상향, 신차 중심 매출 성장, 로봇 모멘텀 강화 등은 실적 개선과 주가 상승에 긍정적 영향을 줄 것으로 판단됩니다.",000270,기아,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F21A00108471400008320260618,"대한항공, 美 안두릴 손잡고 AI 무인기 띄운다… '미래항공' 정조준",대한항공이 AI 무인기 등 미래 항공우주 기술 공개 및 글로벌 협력 확대.,호재,"AI 무인기 개발, 보잉과의 협력, 산업 효율성 극대화 등은 신사업 진출과 기업 가치 상승에 긍정적 영향을 줄 것으로 예상됩니다.",003490,대한항공,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F06A00108444610001620260618,[삼성파운드리-下] 점유율·적자·인력 '삼중고',삼성전자 파운드리 점유율 하락과 흑자 전환 지연 가능성 언급.,악재,"시장 점유율 하락, 흑자 전환 시점 지연 등은 실적 악화와 경쟁력 저하로 주가에 부정적 영향을 줄 수 있습니다.",005930,삼성전자,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F07A00108450003579420260618,"[키움증권 데일리] 미 증시, 매파적이었던 6월 FOMC 여파로 장 후반 하락 전환",미 증시가 6월 FOMC의 매파적 여파로 장 후반 하락 전환.,악재,미국 증시의 하락은 국내 증시에도 부정적 영향을 줄 수 있어 악재로 분류합니다.,039490,키움증권,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F05A00108433400013320260618,"현대차, 하반기 친환경 신차 효과로 실적 회복 기대…목표가 76만-한화","현대차 하반기 친환경 신차 출시로 실적 회복 기대, 목표주가 상향.",호재,"신차 출시와 실적 회복 전망, 목표주가 상향 등 주가 상승에 긍정적 영향을 줄 수 있어 호재로 분류합니다.",005380,현대차,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F20A00108445800017420260618,"엔젠바이오, 바이오 USA서 글로벌 데이터 파트너링 본격화","엔젠바이오, 바이오 USA 참가로 글로벌 데이터 파트너링 본격화.",호재,글로벌 협력 확대 및 데이터 사업 확장으로 기업 성장 기대감이 높아져 호재로 분류합니다.,354200,엔젠바이오,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F04A00108463500066720260618,"피엔티, 중국 APFE 2026 참가","피엔티, 중국 APFE 2026 참가 및 글로벌 파트너십 확대 추진.",호재,신규 수주 및 글로벌 파트너십 확대는 기업 성장과 주가 상승에 긍정적 영향을 줄 수 있어 호재로 분류합니다.,137400,피엔티,2026-06-18T09:14:08.208Z,2026-06-18
1,20260618,3F05A00108425600000020260618,"삼성, 직무교육 지원 '청년희망배움터' 교육생 모집","삼성, 청년 직무교육 프로그램 '청년희망배움터' 교육생 모집.",소식,사회공헌 및 교육 프로그램 관련 소식으로 주가에 직접적 영향이 없어 소식으로 분류합니다.,005930,삼성전자,2026-06-18T09:14:08.208Z,2026-06-18
